frequency,magnitude,phase
1,-0.00280213868,-6.64665395E-05
1.12201845,-0.00280213868,-7.45766839E-05
1.25892541,-0.00280213868,-8.36764156E-05
1.41253754,-0.00280213868,-9.38864825E-05
1.58489319,-0.00280213868,-0.000105342366
1.77827941,-0.00280213869,-0.000118196079
1.99526231,-0.00280213869,-0.000132618181
2.23872114,-0.00280213869,-0.000148800047
2.51188643,-0.0028021387,-0.000166956399
2.81838293,-0.0028021387,-0.00018732816
3.16227766,-0.00280213871,-0.000210185653
3.54813389,-0.00280213871,-0.000235832182
3.98107171,-0.00280213873,-0.00026460806
4.46683592,-0.00280213874,-0.000296895126
5.01187234,-0.00280213875,-0.000333121811
5.62341325,-0.00280213877,-0.000373768819
6.30957344,-0.0028021388,-0.000419375513
7.07945784,-0.00280213883,-0.000470547064
7.94328235,-0.00280213887,-0.00052796249
8.91250938,-0.00280213892,-0.000592383657
10,-0.00280213899,-0.000664665395
11.2201845,-0.00280213907,-0.000745766839
12.5892541,-0.00280213917,-0.000836764156
14.1253754,-0.0028021393,-0.000938864825
15.8489319,-0.00280213946,-0.00105342366
17.7827941,-0.00280213967,-0.00118196079
19.9526231,-0.00280213993,-0.00132618181
22.3872114,-0.00280214025,-0.00148800047
25.1188643,-0.00280214066,-0.00166956399
28.1838293,-0.00280214117,-0.0018732816
31.6227766,-0.00280214182,-0.00210185653
35.4813389,-0.00280214263,-0.00235832181
39.8107171,-0.00280214366,-0.0026460806
44.6683592,-0.00280214495,-0.00296895126
50.1187234,-0.00280214657,-0.00333121811
56.2341325,-0.00280214861,-0.00373768819
63.0957344,-0.00280215119,-0.00419375512
70.7945784,-0.00280215443,-0.00470547064
79.4328235,-0.00280215851,-0.00527962489
89.1250938,-0.00280216364,-0.00592383656
100,-0.0028021701,-0.00664665394
112.201845,-0.00280217824,-0.00745766838
125.892541,-0.00280218849,-0.00836764154
141.253754,-0.00280220138,-0.00938864822
158.489319,-0.00280221762,-0.0105342366
177.827941,-0.00280223806,-0.0118196078
199.526231,-0.00280226379,-0.0132618181
223.872114,-0.00280229619,-0.0148800046
251.188643,-0.00280233698,-0.0166956397
281.838293,-0.00280238832,-0.0187328158
316.227766,-0.00280245296,-0.021018565
354.813389,-0.00280253434,-0.0235832177
398.107171,-0.00280263678,-0.0264608054
446.683592,-0.00280276576,-0.0296895118
501.187234,-0.00280292812,-0.0333121798
562.341325,-0.00280313253,-0.0373768802
630.957344,-0.00280338987,-0.0419375488
707.945784,-0.00280371383,-0.047054703
794.328235,-0.00280412168,-0.0527962441
891.250938,-0.00280463513,-0.0592383588
1000,-0.00280528152,-0.0664665297
1122.01845,-0.00280609529,-0.0745766701
1258.92541,-0.00280711976,-0.0836763961
1412.53754,-0.00280840948,-0.0938864549
1584.89319,-0.00281003315,-0.105342327
1778.27941,-0.00281207723,-0.118196024
1995.26231,-0.00281465081,-0.132618104
2238.72114,-0.00281789046,-0.148799937
2511.88643,-0.00282196892,-0.166956244
2818.38293,-0.00282710341,-0.187327941
3162.27766,-0.00283356733,-0.210185344
3548.13389,-0.00284170516,-0.235831745
3981.07171,-0.00285194976,-0.264607443
4466.83592,-0.00286484716,-0.296894255
5011.87234,-0.00288108368,-0.333120579
5623.41325,-0.00290152443,-0.373767079
6309.57344,-0.00292725764,-0.419373055
7079.45784,-0.00295965384,-0.470543594
7943.28235,-0.00300043787,-0.527957588
8912.50938,-0.00305178699,-0.592376732
10000,-0.00311642412,-0.664655613
11220.1845,-0.00319779623,-0.745753021
12589.2541,-0.00330023633,-0.836744639
14125.3754,-0.00342919812,-0.938837257
15848.9319,-0.00359155279,-1.05338472
17782.7941,-0.00379593174,-1.18190578
19952.6231,-0.00405322488,-1.32610412
22387.2114,-0.00437712012,-1.48789073
25118.8643,-0.00478484739,-1.66940898
28183.8293,-0.00529811617,-1.87306267
31622.7766,-0.00594420999,-2.10154729
35481.3389,-0.00675749596,-2.35788505
39810.7171,-0.00778119731,-2.64546372
44668.3592,-0.00906970673,-2.96808002
50118.7234,-0.0106914387,-3.32998767
56234.1325,-0.0127324284,-3.73595056
63095.7344,-0.0153008676,-4.19130139
70794.5784,-0.0185327226,-4.70200593
79432.8235,-0.0225988319,-5.27473313
89125.0938,-0.0277137187,-5.9169308
100000,-0.0341465815,-6.63690648
112201.845,-0.0422349569,-7.44391247
125892.541,-0.0524016422,-8.34823341
141253.754,-0.0651755207,-9.36127357
158489.319,-0.081217109,-10.4956398
177827.941,-0.101349648,-11.765214
199526.231,-0.126596548,-13.1852065
223872.114,-0.158226009,-14.7721792
251188.643,-0.197803345,-16.5440212
281838.293,-0.247250998,-18.5198587
316227.766,-0.308915594,-20.719873
354813.389,-0.385639867,-23.1649975
398107.171,-0.480835583,-25.8764648
446683.592,-0.598551056,-28.875173
501187.234,-0.743524073,-32.1808584
562341.325,-0.921208164,-35.8110749
630957.344,-1.13775872,-39.7800239
707945.784,-1.39996638,-44.0973249
794328.235,-1.7151299,-48.7668657
891250.938,-2.09087221,-53.7859202
1000000,-2.534918,-59.144717
1122018.45,-3.05487053,-64.8265926
1258925.41,-3.65803497,-70.8087152
1412537.54,-4.35134059,-77.0631896
1584893.19,-5.14139314,-83.5581532
1778279.41,-6.03466359,-90.2583573
1995262.31,-7.03777188,-97.1247072
2238721.14,-8.15780171,-104.112344
2511886.43,-9.40254072,-111.167015
2818382.93,-10.780542,-118.219647
3162277.66,-12.3008713,-125.179101
3548133.89,-13.972364,-131.923173
3981071.71,-15.8020957,-138.288074
4466835.92,-17.7925632,-144.05758
5011872.34,-19.9367625,-148.956023
5623413.25,-22.2102408,-152.656893
6309573.44,-24.5603616,-154.833405
7079457.84,-26.8980521,-155.290333
7943282.35,-29.1074168,-154.181413
8912509.38,-31.0902435,-152.167276
10000000,-32.8266866,-150.245933
11220184.5,-34.3906326,-149.279091
12589254.1,-35.9018224,-149.665419
14125375.4,-37.4712769,-151.395836
15848931.9,-39.1812158,-154.281309
17782794.1,-41.0921175,-158.137598
19952623.1,-43.2592296,-162.895159
22387211.4,-45.7515145,-168.695532
25118864.3,-48.6745737,-176.084474
28183829.3,-52.1971288,-186.583734
31622776.6,-56.4970316,-204.634043
35481338.9,-60.6754897,-241.644826
39810717.1,-60.4580164,-290.419428
44668359.2,-57.691521,-317.562599
50118723.4,-55.4895667,-331.041728
56234132.5,-53.9751325,-339.20833
63095734.4,-52.9358509,-344.959041
70794578.4,-52.2210971,-349.400955
79432823.5,-51.7365192,-353.027881
89125093.8,-51.4216625,-356.085573
100000000,-51.2359964,-358.70384
112201845,-51.1508495,-360.952046
125892541,-51.1446455,-362.86616
141253754,-51.2000339,-364.464188
158489319,-51.302206,-365.756277
177827941,-51.4380138,-366.751798
199526231,-51.5956423,-367.4641
223872114,-51.7646316,-367.913076
251188643,-51.936066,-368.12567
281838293,-52.1027734,-368.134693
316227766,-52.2594263,-367.976501
354813389,-52.402495,-367.688262
398107171,-52.5300576,-367.305402
446683592,-52.6415114,-366.859672
501187234,-52.7372409,-366.377984
562341325,-52.8182955,-365.881994
630957344,-52.8861114,-365.388267
707945784,-52.9422942,-364.908805
794328235,-52.9884636,-364.451776
891250938,-53.0261537,-364.022272
1000000000,-53.0567566,-363.623025
